"ID;""RegioS"";""Perioden"";""PrijsindexVerkoopprijzen_1"";""OntwikkelingTOVVoorgaandePeriode_2"";""OntwikkelingTOVEenJaarEerder_3"";""VerkochteWoningen_4"";""OntwikkelingTOVVoorgaandePeriode_5"";""OntwikkelingTOVEenJaarEerder_6"";""GemiddeldeVerkoopprijs_7"";""TotaleWaardeVerkoopprijzen_8"""
"85;""NL01"";""2012KW01"";""   106.9"";""    -1.3"";""    -4.1"";""   23951"";""   -25.3"";""   -15.5"";""  235954"";""    5651"""
"86;""NL01"";""2012KW02"";""   104.9"";""    -1.9"";""    -5.5"";""   34628"";""    44.6"";""    17.3"";""  234572"";""    8123"""
"87;""NL01"";""2012KW03"";""   100.7"";""    -3.9"";""    -8.6"";""   22978"";""   -33.6"";""   -25.3"";""  215795"";""    4959"""
"88;""NL01"";""2012KW04"";""   100.1"";""    -0.7"";""    -7.6"";""   35704"";""    55.4"";""    11.3"";""  219746"";""    7846"""
"89;""NL01"";""2012JJ00"";""   103.1"";""    -6.5"";""    -6.5"";""  117261"";""    -2.9"";""    -2.9"";""  226661"";""   26578"""
"90;""NL01"";""2013KW01"";""    97.8"";""    -2.3"";""    -8.6"";""   23090"";""   -35.3"";""    -3.6"";""  213240"";""    4924"""
"91;""NL01"";""2013KW02"";""    95.8"";""    -2.0"";""    -8.7"";""   22111"";""    -4.2"";""   -36.1"";""  210908"";""    4663"""
"92;""NL01"";""2013KW03"";""    96.1"";""     0.4"";""    -4.6"";""   28925"";""    30.8"";""    25.9"";""  214778"";""    6212"""
"93;""NL01"";""2013KW04"";""    95.8"";""    -0.4"";""    -4.3"";""   35968"";""    24.3"";""     0.7"";""  213784"";""    7689"""
"94;""NL01"";""2013JJ00"";""    96.4"";""    -6.6"";""    -6.6"";""  110094"";""    -6.1"";""    -6.1"";""  213353"";""   23489"""
"95;""NL01"";""2014KW01"";""    96.3"";""     0.6"";""    -1.5"";""   28963"";""   -19.5"";""    25.4"";""  215689"";""    6247"""
"96;""NL01"";""2014KW02"";""    96.9"";""     0.6"";""     1.2"";""   34074"";""    17.6"";""    54.1"";""  220670"";""    7519"""
"97;""NL01"";""2014KW03"";""    97.8"";""     0.9"";""     1.8"";""   39160"";""    14.9"";""    35.4"";""  225194"";""    8819"""
"98;""NL01"";""2014KW04"";""    97.9"";""     0.1"";""     2.2"";""   51314"";""    31.0"";""    42.7"";""  224660"";""   11528"""
"99;""NL01"";""2014JJ00"";""    97.2"";""     0.9"";""     0.9"";""  153511"";""    39.4"";""    39.4"";""  222218"";""   34113"""
"100;""NL01"";""2015KW01"";""    98.6"";""     0.8"";""     2.4"";""   34527"";""   -32.7"";""    19.2"";""  221589"";""    7651"""
"101;""NL01"";""2015KW02"";""    99.4"";""     0.8"";""     2.5"";""   40722"";""    17.9"";""    19.5"";""  227389"";""    9260"""
"102;""NL01"";""2015KW03"";""   100.7"";""     1.3"";""     2.9"";""   50609"";""    24.3"";""    29.2"";""  233301"";""   11807"""
"103;""NL01"";""2015KW04"";""   101.3"";""     0.6"";""     3.5"";""   52435"";""     3.6"";""     2.2"";""  235039"";""   12324"""
"104;""NL01"";""2015JJ00"";""   100.0"";""     2.8"";""     2.8"";""  178293"";""    16.1"";""    16.1"";""  230194"";""   41042"""
"105;""NL01"";""2016KW01"";""   102.6"";""     1.3"";""     4.1"";""   42897"";""   -18.2"";""    24.2"";""  236333"";""   10138"""
"106;""NL01"";""2016KW02"";""   103.7"";""     1.0"";""     4.4"";""   50315"";""    17.3"";""    23.6"";""  239542"";""   12053"""
"107;""NL01"";""2016KW03"";""   106.3"";""     2.5"";""     5.6"";""   60707"";""    20.7"";""    20.0"";""  249593"";""   15152"""
"108;""NL01"";""2016KW04"";""   107.5"";""     1.1"";""     6.1"";""   60874"";""     0.3"";""    16.1"";""  246934"";""   15032"""
"109;""NL01"";""2016JJ00"";""   105.0"";""     5.0"";""     5.0"";""  214793"";""    20.5"";""    20.5"";""  243837"";""   52374"""
"110;""NL01"";""2017KW01"";""   109.6"";""     2.0"";""     6.8"";""   55911"";""    -8.2"";""    30.3"";""  257002"";""   14369"""
"111;""NL01"";""2017KW02"";""   111.7"";""     1.9"";""     7.7"";""   58370"";""     4.4"";""    16.0"";""  260573"";""   15210"""
"112;""NL01"";""2017KW03"";""   114.4"";""     2.4"";""     7.6"";""   61391"";""     5.2"";""     1.1"";""  267464"";""   16420"""
"113;""NL01"";""2017KW04"";""   116.3"";""     1.7"";""     8.2"";""   66188"";""     7.8"";""     8.7"";""  267143"";""   17682"""
"114;""NL01"";""2017JJ00"";""   113.0"";""     7.6"";""     7.6"";""  241860"";""    12.6"";""    12.6"";""  263295"";""   63680"""
"115;""NL01"";""2018KW01"";""   119.4"";""     2.7"";""     9.0"";""   52105"";""   -21.3"";""    -6.8"";""  278159"";""   14493"""
"116;""NL01"";""2018KW02"";""   121.6"";""     1.8"";""     8.8"";""   52930"";""     1.6"";""    -9.3"";""  284639"";""   15066"""
"117;""NL01"";""2018KW03"";""   124.9"";""     2.7"";""     9.2"";""   56921"";""     7.5"";""    -7.3"";""  292146"";""   16629"""
